ticker,company_name,board,aliases
AADI,PT Adaro Andalan Indonesia Tbk,MAIN,ADARO ANDALAN INDONESIA|ADARO ANDALAN
AALI,Astra Agro Lestari Tbk,MAIN,ASTRA AGRO LESTARI|ASTRA AGRO
ABBA,Mahaka Media Tbk,WATCHLIST,MAHAKA MEDIA
ABDA,PT Asuransi Bina Dana Arta Tbk,DEVELOPMENT,ASURANSI BINA DANA ARTA|BINA DANA ARTA
ABMM,ABM Investama Tbk,MAIN,ABM INVESTAMA
ACES,PT Aspirasi Hidup Indonesia Tbk,MAIN,ASPIRASI HIDUP INDONESIA|ASPIRASI HIDUP
ACRO,PT Samcro Hyosung Adilestari Tbk.,DEVELOPMENT,SAMCRO HYOSUNG ADILESTARI|SAMCRO HYOSUNG
ACST,PT Acset Indonusa Tbk.,WATCHLIST,ACSET INDONUSA
ADCP,PT Adhi Commuter Properti Tbk,DEVELOPMENT,ADHI COMMUTER PROPERTI|ADHI COMMUTER
ADES,Akasha Wira International Tbk  Tbk,MAIN,AKASHA WIRA INTERNATIONAL|AKASHA WIRA
ADHI,PT Adhi Karya (Persero) Tbk.,MAIN,ADHI KARYA
ADMF,Adira Dinamika Multi Finance Tbk,DEVELOPMENT,ADIRA DINAMIKA MULTI FINANCE|ADIRA DINAMIKA
ADMG,Polychem Indonesia Tbk,DEVELOPMENT,POLYCHEM INDONESIA
ADMR,PT Alamtri Minerals Indonesia Tbk,MAIN,ALAMTRI MINERALS INDONESIA|ALAMTRI MINERALS
ADRO,Alamtri Resources Indonesia Tbk,MAIN,ALAMTRI RESOURCES INDONESIA|ALAMTRI RESOURCES
AEGS,PT Anugerah Spareparts Sejahtera Tbk.,ACCELERATION,ANUGERAH SPAREPARTS SEJAHTERA|ANUGERAH SPAREPARTS
AGAR,PT Asia Sejahtera Mina Tbk,DEVELOPMENT,ASIA SEJAHTERA MINA|SEJAHTERA MINA
AGII,PT Samator Indo Gas Tbk,DEVELOPMENT,SAMATOR INDO GAS|SAMATOR INDO
AGRO,PT Bank Raya Indonesia Tbk,MAIN,
AGRS,PT Bank IBK Indonesia Tbk.,DEVELOPMENT,BANK IBK INDONESIA|IBK INDONESIA
AHAP,Asuransi Harta Aman Pratama Tbk,DEVELOPMENT,ASURANSI HARTA AMAN PRATAMA|HARTA AMAN PRATAMA
AIMS,PT Artha Mahiya Investama Tbk,DEVELOPMENT,ARTHA MAHIYA INVESTAMA|ARTHA MAHIYA
AISA,PT FKS Food Sejahtera Tbk,MAIN,FKS FOOD SEJAHTERA|FKS FOOD
AKKU,PT Anugerah Kagum Karya Utama Tbk,WATCHLIST,ANUGERAH KAGUM KARYA UTAMA|ANUGERAH KAGUM
AKPI,Argha Karya Prima Ind. Tbk,DEVELOPMENT,ARGHA KARYA PRIMA IND|ARGHA KARYA
AKRA,PT AKR Corporindo Tbk.,MAIN,AKR CORPORINDO
AKSI,PT Mineral Sumberdaya Mandiri Tbk,DEVELOPMENT,MINERAL SUMBERDAYA MANDIRI|MINERAL SUMBERDAYA
ALDO,Alkindo Naratama Tbk,MAIN,ALKINDO NARATAMA
ALII,PT Ancara Logistics Indonesia Tbk,MAIN,ANCARA LOGISTICS INDONESIA|ANCARA LOGISTICS
ALKA,Alakasa Industrindo Tbk,DEVELOPMENT,ALAKASA INDUSTRINDO
ALMI,Alumindo Light Metal Industry Tbk,WATCHLIST,ALUMINDO LIGHT METAL INDUSTRY|ALUMINDO LIGHT
ALTO,Tri Banyan Tirta Tbk,WATCHLIST,TRI BANYAN TIRTA|TRI BANYAN
AMAG,Asuransi Multi Artha Guna Tbk,MAIN,ASURANSI MULTI ARTHA GUNA|MULTI ARTHA GUNA
AMAN,PT Makmur Berkah Amanda Tbk.,DEVELOPMENT,MAKMUR BERKAH AMANDA|BERKAH AMANDA|MAKMUR BERKAH
AMAR,PT Bank Amar Indonesia Tbk.,MAIN,BANK AMAR INDONESIA|AMAR INDONESIA
AMFG,Asahimas Flat Glass Tbk,DEVELOPMENT,ASAHIMAS FLAT GLASS|ASAHIMAS FLAT
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,DEVELOPMENT,ATELIERS MECANIQUES D INDONESIE|ATELIERS MECANIQUES
AMMN,PT Amman Mineral Internasional Tbk.,MAIN,AMMAN MINERAL INTERNASIONAL|AMMAN MINERAL
AMMS,PT Agung Menjangan Mas Tbk,ACCELERATION,AGUNG MENJANGAN MAS|AGUNG MENJANGAN|MENJANGAN MAS
AMOR,PT Ashmore Asset Management Indonesia Tbk.,DEVELOPMENT,ASHMORE ASSET MANAGEMENT INDONESIA|ASHMORE ASSET
AMRT,PT Sumber Alfaria Trijaya Tbk.,MAIN,SUMBER ALFARIA TRIJAYA|ALFARIA TRIJAYA|SUMBER ALFARIA
ANDI,PT Andira Agro Tbk,WATCHLIST,ANDIRA AGRO
ANJT,PT Austindo Nusantara Jaya Tbk.,DEVELOPMENT,AUSTINDO NUSANTARA JAYA|AUSTINDO NUSANTARA
ANTM,ANTAM (Persero) Tbk,MAIN,ANTAM
APEX,Apexindo Pratama Duta Tbk,DEVELOPMENT,APEXINDO PRATAMA DUTA|APEXINDO PRATAMA
APIC,PACIFIC STRATEGIC FINANCIAL Tbk,DEVELOPMENT,PACIFIC STRATEGIC FINANCIAL|STRATEGIC FINANCIAL|PACIFIC STRATEGIC
APII,PT Arita Prima Indonesia Tbk.,DEVELOPMENT,ARITA PRIMA INDONESIA|ARITA PRIMA
APLI,Asiaplast Industries Tbk,DEVELOPMENT,ASIAPLAST INDUSTRIES
APLN,PT Agung Podomoro Land Tbk.,MAIN,AGUNG PODOMORO LAND|AGUNG PODOMORO|PODOMORO LAND
ARCI,PT Archi Indonesia Tbk,DEVELOPMENT,ARCHI INDONESIA
AREA,PT Dunia Virtual Online Tbk,DEVELOPMENT,DUNIA VIRTUAL ONLINE|DUNIA VIRTUAL
ARGO,Argo Pantes Tbk,DEVELOPMENT,ARGO PANTES
ARII,Atlas Resources Tbk,DEVELOPMENT,ATLAS RESOURCES
ARKA,PT Arkha Jayanti Persada Tbk.,WATCHLIST,ARKHA JAYANTI PERSADA|ARKHA JAYANTI
ARKO,PT Arkora Hydro Tbk.,DEVELOPMENT,ARKORA HYDRO
ARMY,PT Armidian Karyatama Tbk,WATCHLIST,ARMIDIAN KARYATAMA
ARNA,Arwana Citramulia Tbk,MAIN,ARWANA CITRAMULIA
ARTA,Arthavest Tbk,DEVELOPMENT,ARTHAVEST
ARTI,Ratu Prabu Energi Tbk,WATCHLIST,RATU PRABU ENERGI|RATU PRABU
ARTO,PT Bank Jago Tbk.,MAIN,BANK JAGO
ASBI,Asuransi Bintang Tbk,DEVELOPMENT,
ASDM,Asuransi Dayin Mitra Tbk,DEVELOPMENT,ASURANSI DAYIN MITRA|DAYIN MITRA
ASGR,Astra Graphia Tbk,MAIN,ASTRA GRAPHIA
ASHA,PT Cilacap Samudera Fishing Industry Tbk,DEVELOPMENT,CILACAP SAMUDERA FISHING INDUSTRY|CILACAP SAMUDERA
ASII,Astra International Tbk,MAIN,ASTRA INTERNATIONAL
ASJT,Asuransi Jasa Tania Tbk,DEVELOPMENT,ASURANSI JASA TANIA|JASA TANIA
ASLC,PT Autopedia Sukses Lestari Tbk,DEVELOPMENT,AUTOPEDIA SUKSES LESTARI|AUTOPEDIA SUKSES
ASLI,PT Asri Karya Lestari Tbk.,DEVELOPMENT,ASRI KARYA LESTARI|ASRI KARYA
ASMI,PT Asuransi Maximus Graha Persada Tbk.,WATCHLIST,ASURANSI MAXIMUS GRAHA PERSADA|MAXIMUS GRAHA PERSADA
ASPI,PT Andalan Sakti Primaindo Tbk.,DEVELOPMENT,ANDALAN SAKTI PRIMAINDO|ANDALAN SAKTI
ASPR,PT Asia Pramulia Tbk,DEVELOPMENT,ASIA PRAMULIA
ASRI,ALAM SUTERA REALTY Tbk,MAIN,ALAM SUTERA REALTY|ALAM SUTERA
ASRM,Asuransi Ramayana Tbk,DEVELOPMENT,ASURANSI RAMAYANA
ASSA,Adi Sarana Armada Tbk,MAIN,ADI SARANA ARMADA|ADI SARANA
ATAP,PT Trimitra Prawara Goldland Tbk,DEVELOPMENT,TRIMITRA PRAWARA GOLDLAND|TRIMITRA PRAWARA
ATIC,PT Anabatic Technologies Tbk,DEVELOPMENT,ANABATIC TECHNOLOGIES
ATLA,PT Atlantis Subsea Indonesia Tbk,DEVELOPMENT,ATLANTIS SUBSEA INDONESIA|ATLANTIS SUBSEA
AUTO,Astra Otoparts Tbk,MAIN,ASTRA OTOPARTS
AVIA,PT Avia Avian Tbk,MAIN,AVIA AVIAN
AWAN,PT Era Digital Media Tbk,DEVELOPMENT,ERA DIGITAL MEDIA|ERA DIGITAL
AXIO,PT Tera Data Indonusa Tbk,DEVELOPMENT,TERA DATA INDONUSA|TERA DATA
AYAM,PT Janu Putra Sejahtera Tbk.,DEVELOPMENT,JANU PUTRA SEJAHTERA|JANU PUTRA
AYLS,PT Arkayana Lestari Grup Tbk,DEVELOPMENT,ARKAYANA LESTARI GRUP|ARKAYANA LESTARI
BABP,PT Bank MNC Internasional Tbk.,DEVELOPMENT,
BABY,PT Multitrend Indo Tbk.,DEVELOPMENT,MULTITREND INDO
BACA,PT Bank Capital Indonesia Tbk,MAIN,BANK CAPITAL INDONESIA|CAPITAL INDONESIA
BAIK,PT Bersama Mencapai Puncak Tbk.,DEVELOPMENT,BERSAMA MENCAPAI PUNCAK|BERSAMA MENCAPAI|MENCAPAI PUNCAK
BAJA,Saranacentral Bajatama Tbk,DEVELOPMENT,SARANACENTRAL BAJATAMA
BALI,PT Bali Towerindo Sentra Tbk.,MAIN,BALI TOWERINDO SENTRA|BALI TOWERINDO
